Time,Value
0.0005,-0.01
0.00075,-0.005
0.001,-0.01
0.00125,-0.0067
0.0015,-0.0017
0.00175,-0.0017
0.002,0.0033
0.00225,0.0017
0.0025,0.005
0.00275,0.0067
0.003,0.0033
0.00325,0.0033
0.0035,0.0067
0.00375,0.0083
0.004,0.0033
0.00425,0.0033
0.0045,0.01
0.00475,0.0067
0.005,0.0
0.00525,0.0033
0.0055,0.0317
0.00575,0.0317
0.006,0.0667
0.00625,0.0683
0.0065,0.0817
0.00675,0.0817
0.007,0.0617
0.00725,0.06
0.0075,0.025
0.00775,0.0233
0.008,-0.0333
0.00825,-0.035
0.0085,-0.06
0.00875,-0.06
0.009,-0.1333
0.00925,-0.1433
0.0095,-0.3117
0.00975,-0.3083
0.01,-0.1633
0.01025,-0.1567
0.0105,0.02
0.01075,0.0567
0.011,0.0017
0.01125,-0.0117
0.0115,0.0233
0.01175,0.015
0.012,-0.01
0.01225,0.0117
0.0125,0.0683
0.01275,0.0733
0.013,0.0983
0.01325,0.125
0.0135,0.0917
0.01375,0.09
0.014,0.0183
0.01425,0.1217
0.0145,-0.1017
0.01475,0.27
0.015,-0.2233
0.01525,-0.2483
0.0155,0.0167
0.01575,-0.0083
0.016,-0.0517
0.01625,-0.0367
0.0165,0.075
0.01675,0.08
0.017,0.0183
0.01725,0.02
0.0175,0.055
0.01775,0.055
0.018,0.06
0.01825,0.0583
0.0185,0.0467
0.01875,0.0433
0.019,0.0483
0.01925,0.0433
0.0195,0.0533
0.01975,0.055
0.02,0.0933
0.02025,0.0967
0.0205,0.155
0.02075,0.1567
0.021,0.115
0.02125,0.1167
0.0215,0.31
0.02175,0.1733
0.022,0.06
0.02225,0.17
0.0225,0.385
0.02275,0.3333
0.023,0.1517
0.02325,0.1433
0.0235,0.0333
0.02375,0.0333
0.024,0.0767
0.02425,0.0833
0.0245,-0.0067
0.02475,-0.0133
0.025,-0.085
0.02525,-0.05
0.0255,-0.0967
0.02575,-0.1017
0.026,-0.135
0.02625,-0.1233
0.0265,-0.0667
0.02675,-0.0617
0.027,-0.0117
0.02725,-0.0117
0.0275,-0.0433
0.02775,-0.0567
0.028,-0.0383
0.02825,-0.0383
0.0285,-0.07
0.02875,-0.0683
0.029,-0.0783
0.02925,-0.07
0.0295,-0.0517
0.02975,-0.05
0.03,-0.0433
0.03025,-0.0467
0.0305,-0.0367
0.03075,-0.0367
0.031,-0.0467
0.03125,-0.0483
0.0315,-0.0417
0.03175,-0.04
0.032,-0.03
0.03225,-0.03
0.0325,-0.0233
0.03275,-0.0217
0.033,-0.0083
0.03325,-0.0083
0.0335,0.0017
0.03375,0.005
0.034,-0.0067
0.03425,-0.0067
0.0345,-0.0167
0.03475,-0.0183
0.035,-0.025
0.03525,-0.02
0.0355,0.025
0.03575,0.0267
0.036,0.0833
0.03625,0.085
0.0365,-0.11
0.03675,-0.1267
0.037,-0.47
0.03725,-0.4733
0.0375,-0.265
0.03775,-0.25
0.038,0.0183
0.03825,0.0267
0.0385,0.1283
0.03875,0.1
0.039,0.0383
0.03925,0.09
0.0395,-0.0033
0.03975,-0.0083
0.04,-0.045
0.04025,-0.0183
0.0405,0.0617
0.04075,0.0617
0.041,0.005
0.04125,0.0033
0.0415,-0.03
0.04175,-0.025
0.042,0.0017
0.04225,0.0017
0.0425,-0.0417
0.04275,-0.04
0.043,-0.0133
0.04325,-0.0117
0.0435,0.005
0.04375,0.005
0.044,0.0133
0.04425,0.0117
0.0445,0.02
0.04475,0.0167
0.045,0.025
0.04525,0.0217
0.0455,0.0267
0.04575,0.0283
0.046,0.0517
0.04625,0.0533
0.0465,0.085
0.04675,0.085
0.047,0.1033
0.04725,0.0967
0.0475,-0.0417
0.04775,0.0217
0.048,0.1317
0.04825,0.1417
0.0485,0.2817
0.04875,0.225
0.049,0.1
0.04925,0.0967
0.0495,0.1217
0.04975,0.125
0.05,0.0383
0.05025,0.05
0.0505,0.0317
0.05075,0.0267
0.051,-0.0583
0.05125,-0.06
0.0515,-0.0317
0.05175,-0.0317
0.052,-0.0233
0.05225,-0.0283
0.0525,-0.0367
0.05275,-0.0367
0.053,-0.0433
0.05325,-0.0417
0.0535,-0.0367
0.05375,-0.0367
0.054,-0.0317
0.05425,-0.0283
0.0545,-0.035
0.05475,-0.04
0.055,0.0083
0.05525,0.0117
0.0555,0.1133
0.05575,0.1033
0.056,-0.105
0.05625,0.0433
0.0565,0.0867
0.05675,0.0867
0.057,0.0483
0.05725,0.045
0.0575,-0.0083
0.05775,-0.01
0.058,-0.04
0.05825,-0.0383
0.0585,-0.0483
0.05875,-0.0467
0.059,-0.055
0.05925,-0.055
0.0595,-0.05
0.05975,-0.0483
0.06,-0.0383
0.06025,-0.0417
0.0605,-0.0317
0.06075,-0.03
0.061,-0.04
0.06125,-0.0367
0.0615,-0.055
0.06175,-0.055
0.062,-0.1083
0.06225,-0.11
0.0625,-0.1283
0.06275,-0.1133
0.063,-0.075
0.06325,-0.0717
0.0635,-0.0383
0.06375,-0.035
0.064,-0.0233
0.06425,-0.035
0.0645,-0.0517
0.06475,-0.0483
0.065,-0.0433
0.06525,-0.045
0.0655,-0.03
0.06575,-0.0283
0.066,-0.0167
0.06625,-0.02
0.0665,-0.015
0.06675,-0.0183
0.067,-0.0117
0.06725,-0.0133
0.0675,-0.0083
0.06775,-0.0117
0.068,0.0033
0.06825,0.005
0.0685,0.02
0.06875,0.02
0.069,0.035
0.06925,0.0317
0.0695,0.0117
0.06975,0.0083
0.07,-0.0917
0.07025,-0.095
0.0705,-0.125
0.07075,-0.1117
0.071,-0.0417
0.07125,-0.04
0.0715,0.0033
0.07175,0.0033
0.072,0.0317
0.07225,0.0283
0.0725,0.0583
0.07275,0.0533
0.073,0.01
0.07325,0.03
0.0735,0.06
0.07375,0.07
0.074,0.0517
0.07425,0.045
0.0745,-0.045
0.07475,0.2283
0.075,-0.2067
0.07525,-0.2133
0.0755,-0.0817
0.07575,-0.075
0.076,0.03
0.07625,0.0283
0.0765,0.035
0.07675,0.0283
0.077,0.0133
0.07725,0.0117
0.0775,0.0217
0.07775,0.02
0.078,0.025
0.07825,0.025
0.0785,0.0167
0.07875,0.02
0.079,0.0117
0.07925,0.01
0.0795,0.0
0.07975,0.0067
0.08,0.0317
0.08025,0.0233
0.0805,0.0333
0.08075,0.035
0.081,0.03
0.08125,0.03
0.0815,0.0267
0.08175,0.0267
0.082,0.09
0.08225,0.0467
0.0825,-0.0717
0.08275,-0.04
0.083,0.0483
0.08325,0.055
0.0835,0.1083
0.08375,0.0733
0.084,-0.0917
0.08425,-0.1017
0.0845,-0.16
0.08475,-0.0967
0.085,-0.01
0.08525,-0.0083
0.0855,0.0533
0.08575,0.0533
0.086,-0.005
0.08625,-0.0067
0.0865,-0.05
0.08675,-0.0667
0.087,-0.0167
0.08725,0.0033
0.0875,-0.04
0.08775,0.01
0.088,-0.0367
0.08825,-0.025
0.0885,0.025
0.08875,0.0217
0.089,-0.0317
0.08925,-0.0333
0.0895,-0.0483
0.08975,-0.0367
0.09,-0.135
0.09025,-0.135
0.0905,-0.0617
0.09075,-0.0583
0.091,0.015
0.09125,0.0083
0.0915,-0.05
0.09175,-0.0283
0.092,0.0367
0.09225,0.0417
0.0925,0.2317
0.09275,0.1483
0.093,-0.1017
0.09325,0.05
0.0935,0.0933
0.09375,0.0933
0.094,0.1183
0.09425,0.1233
0.0945,0.0233
0.09475,0.0133
0.095,-0.0883
0.09525,-0.0767
0.0955,0.0
0.09575,0.005
0.096,0.0683
0.09625,0.07
0.0965,0.0933
0.09675,0.095
0.097,0.0867
0.09725,0.0867
0.0975,0.05
0.09775,0.0467
0.098,0.0017
0.09825,0.0017
0.0985,-0.05
0.09875,-0.0517
0.099,-0.0217
0.09925,-0.02
0.0995,-0.1067
0.09975,-0.1167
0.1,-0.2383
0.10025,-0.2267
0.1005,-0.1383
0.10075,-0.1333
0.101,-0.0083
0.10125,-0.0033
0.1015,0.0767
0.10175,0.0783
0.102,0.11
0.10225,0.0983
0.1025,0.0067
0.10275,0.0433
0.103,-0.0017
0.10325,-0.0033
0.1035,-0.025
0.10375,0.0017
0.104,0.0983
0.10425,0.1017
0.1045,0.1283
0.10475,0.1183
0.105,-0.0083
0.10525,-0.0433
0.1055,0.0767
0.10575,-0.13
0.106,0.1667
0.10625,0.3217
0.1065,-0.2917
0.10675,-0.1133
0.107,-0.0267
0.10725,-0.02
0.1075,0.0917
0.10775,0.1117
0.108,0.0417
0.10825,0.035
0.1085,0.0033
0.10875,0.0233
0.109,0.045
0.10925,0.0483
0.1095,0.0433
0.10975,0.0467
0.11,0.04
0.11025,0.0367
0.1105,0.0417
0.11075,0.035
0.111,0.04
0.11125,0.0367
0.1115,0.025
0.11175,0.025
0.112,0.0017
0.11225,0.0017
0.1125,-0.0083
0.11275,0.0
0.113,0.035
0.11325,0.0367
0.1135,0.06
0.11375,0.0417
0.114,-0.0833
0.11425,-0.085
0.1145,-0.0233
0.11475,-0.0283
0.115,-0.0933
0.11525,-0.0867
0.1155,-0.0267
0.11575,-0.0233
0.116,0.045
0.11625,0.045
0.1165,0.055
0.11675,0.025
0.117,0.0633
0.11725,0.065
0.1175,0.1267
0.11775,0.1333
0.118,0.0767
0.11825,0.07
0.1185,0.29
0.11875,0.2317
0.119,0.0433
0.11925,0.08
0.1195,0.3633
0.11975,0.355
0.12,0.19
0.12025,0.1817
0.1205,0.0533
0.12075,0.0467
0.121,0.02
0.12125,0.0283
0.1215,0.02
0.12175,0.02
0.122,-0.005
0.12225,-0.0083
0.1225,-0.0367
0.12275,-0.035
0.123,-0.045
0.12325,-0.045
0.1235,-0.0667
0.12375,-0.0667
0.124,-0.055
0.12425,-0.0583
0.1245,-0.0533
0.12475,-0.06
0.125,-0.0767
0.12525,-0.075
0.1255,-0.0633
0.12575,-0.0633
0.126,-0.055
0.12625,-0.0567
0.1265,-0.05
0.12675,-0.05
0.127,-0.0533
0.12725,-0.0517
0.1275,-0.06
0.12775,-0.0583
0.128,-0.07
0.12825,-0.0733
0.1285,-0.06
0.12875,-0.06
0.129,-0.0533
0.12925,-0.0517
0.1295,-0.0667
0.12975,-0.0683
0.13,-0.085
0.13025,-0.0833
0.1305,-0.0917
0.13075,-0.0867
0.131,-0.07
0.13125,-0.0683
0.1315,-0.0583
0.13175,-0.0583
0.132,-0.0367
0.13225,-0.0367
